entropy,before_trans_time,yvar,SE,df,tvar,xvar
-1,-1,-0.051829915,0.027914769,Inf,-1,-1
-1,-0.9,-0.047963183,0.027649359,Inf,-1,-0.9
-1,-0.8,-0.04409645,0.027438991,Inf,-1,-0.8
-1,-0.7,-0.040229717,0.027284939,Inf,-1,-0.7
-1,-0.6,-0.036362985,0.027188159,Inf,-1,-0.6
-1,-0.5,-0.032496252,0.027149265,Inf,-1,-0.5
-1,-0.4,-0.02862952,0.027168505,Inf,-1,-0.4
-1,-0.3,-0.024762787,0.027245756,Inf,-1,-0.3
-1,-0.2,-0.020896055,0.027380527,Inf,-1,-0.2
-1,-0.1,-0.017029322,0.027571974,Inf,-1,-0.1
-1,0,-0.01316259,0.027818927,Inf,-1,0
-1,0.1,-0.009295857,0.028119924,Inf,-1,0.1
-1,0.2,-0.005429125,0.028473251,Inf,-1,0.2
-1,0.3,-0.001562392,0.028876987,Inf,-1,0.3
-1,0.4,0.002304341,0.029329051,Inf,-1,0.4
-1,0.5,0.006171073,0.029827245,Inf,-1,0.5
-1,0.6,0.010037806,0.030369299,Inf,-1,0.6
-1,0.7,0.013904538,0.030952909,Inf,-1,0.7
-1,0.8,0.017771271,0.031575771,Inf,-1,0.8
-1,0.9,0.021638003,0.03223561,Inf,-1,0.9
-1,1,0.025504736,0.032930202,Inf,-1,1
0,-1,-0.033611407,0.028675157,Inf,0,-1
0,-0.9,-0.025211773,0.028295841,Inf,0,-0.9
0,-0.8,-0.016812139,0.027974269,Inf,0,-0.8
0,-0.7,-0.008412505,0.027712453,Inf,0,-0.7
0,-0.6,-1.29E-05,0.027512097,Inf,0,-0.6
0,-0.5,0.008386764,0.027374551,Inf,0,-0.5
0,-0.4,0.016786398,0.027300766,Inf,0,-0.4
0,-0.3,0.025186032,0.027291257,Inf,0,-0.3
0,-0.2,0.033585667,0.027346092,Inf,0,-0.2
0,-0.1,0.041985301,0.027464886,Inf,0,-0.1
0,0,0.050384935,0.027646814,Inf,0,0
0,0.1,0.058784569,0.027890641,Inf,0,0.1
0,0.2,0.067184204,0.028194761,Inf,0,0.2
0,0.3,0.075583838,0.028557247,Inf,0,0.3
0,0.4,0.083983472,0.02897591,Inf,0,0.4
0,0.5,0.092383106,0.029448353,Inf,0,0.5
0,0.6,0.100782741,0.029972034,Inf,0,0.6
0,0.7,0.109182375,0.030544317,Inf,0,0.7
0,0.8,0.117582009,0.031162524,Inf,0,0.8
0,0.9,0.125981643,0.031823979,Inf,0,0.9
0,1,0.134381278,0.032526044,Inf,0,1
1,-1,-0.0153929,0.03103406,Inf,1,-1
1,-0.9,-0.002460364,0.030437164,Inf,1,-0.9
1,-0.8,0.010472172,0.029909851,Inf,1,-0.8
1,-0.7,0.023404708,0.029455859,Inf,1,-0.7
1,-0.6,0.036337244,0.029078621,Inf,1,-0.6
1,-0.5,0.04926978,0.028781157,Inf,1,-0.5
1,-0.4,0.062202316,0.028565959,Inf,1,-0.4
1,-0.3,0.075134852,0.028434893,Inf,1,-0.3
1,-0.2,0.088067388,0.028389127,Inf,1,-0.2
1,-0.1,0.100999924,0.028429071,Inf,1,-0.1
1,0,0.11393246,0.028554365,Inf,1,0
1,0.1,0.126864996,0.028763896,Inf,1,0.1
1,0.2,0.139797532,0.029055839,Inf,1,0.2
1,0.3,0.152730068,0.029427743,Inf,1,0.3
1,0.4,0.165662604,0.029876622,Inf,1,0.4
1,0.5,0.17859514,0.030399066,Inf,1,0.5
1,0.6,0.191527676,0.030991354,Inf,1,0.6
1,0.7,0.204460212,0.031649567,Inf,1,0.7
1,0.8,0.217392748,0.032369682,Inf,1,0.8
1,0.9,0.230325283,0.033147665,Inf,1,0.9
1,1,0.243257819,0.033979542,Inf,1,1
